route	surface	name
/public-portal/fleet	public	PublicPortal.Fleet
/public-portal/industries	public	PublicPortal.Industries
/public-portal/insurance	public	PublicPortal.Insurance
/public-portal/integrations	public	PublicPortal.Integrations
/public-portal/landing	public	PublicPortal.Landing
/public-portal/loans	public	PublicPortal.Loans
/public-portal/marketplace	public	PublicPortal.Marketplace
/public-portal/mini-erp	public	PublicPortal.MiniERP
/public-portal/pricing	public	PublicPortal.Pricing
/public-portal/products	public	PublicPortal.Products
/public-portal/request-demo	public	PublicPortal.RequestDemo
/public-portal/resources	public	PublicPortal.Resources
/public-portal/services	public	PublicPortal.Services
/public-portal/solutions	public	PublicPortal.Solutions
/public-portal/spare-parts	public	PublicPortal.SpareParts
/public-portal/supplier-portal	public	PublicPortal.SupplierPortal
/public-portal/support	public	PublicPortal.Support
/public-portal/technician-portal	public	PublicPortal.TechnicianPortal
/public-portal/workshop	public	PublicPortal.Workshop
/purchase-agent-dashboard	app	Purchase-Agent-Dashboard
/purchase-agent-delivery	app	Purchase-Agent-Delivery
/purchase-agent-inventory	app	Purchase-Agent-Inventory
/purchase-agent-orders	app	Purchase-Agent-Orders
/purchase-agent-payments	app	Purchase-Agent-Payments
/purchase-agent-price-compare	app	Purchase-Agent-Price-Compare
/purchase-agent-quotations	app	Purchase-Agent-Quotations
/purchase-agent-reports	app	Purchase-Agent-Reports
/purchase-agent-suppliers	app	Purchase-Agent-Suppliers
/purchase-agent-tasks	app	Purchase-Agent-Tasks
/purchase-agent-tracking	app	Purchase-Agent-Tracking
/purchase-order	app	PurchaseOrder
/purchase-orders	app	Purchase-Orders
/quality-control	app	Quality-Control
/quantum-computing	app	Quantum-Computing
/rbacspec	reference	RBACSpec
/receipts	app	Receipts
/referral-program	app	Referral-Program
/refund-management	app	Refund-Management
/region-selection	auth	RegionSelection
/register	auth	Register
/reports	app	Reports
/reports-analytics	app	ReportsAnalytics
/reset-password	auth	ResetPassword
/retained-earnings	app	Retained-Earnings
/role-management	app	Role-Management
/role-selection	auth	RoleSelection
/roles-permissions	app	RolesPermissions
/routing-optimizer	app	Routing-Optimizer
/safety-incidents	app	Safety-Incidents
/sales-guide	app	Sales-Guide
/sales-management	app	Sales-Management
/sales-reports	app	SalesReports
/security-cameras	app	Security-Cameras
/security-settings	app	Security-Settings
/service-bay-dashboard	app	Service-Bay-Dashboard
/service-templates	app	Service-Templates
/session-expired	auth	SessionExpired
/settings	app	Settings
/smart-assignment	app	Smart-Assignment
/smart-contracts	app	Smart-Contracts
/smart-damage-assessment	app	Smart-Damage-Assessment
/smart-inventory-forecasting	app	Smart-Inventory-Forecasting
/smart-parts-recommendations	app	Smart-Parts-Recommendations
/smart-parts-recommender	app	Smart-Parts-Recommender
/sms-integration	app	SMS-Integration
/smscampaigns	app	SMSCampaigns
/social-login	auth	SocialLogin
/social-media-integration	app	Social-Media-Integration
/social-media-monitoring	app	Social-Media-Monitoring
/spare-parts	app	Spare-Parts
/splash	auth	Splash
/ssologin	auth	SSOLogin
/staff-directory	app	Staff-Directory
/staff-performance-review	app	Staff-Performance-Review
/staff-scheduling	app	Staff-Scheduling
/stripe-payment-processing	app	Stripe-Payment-Processing
/subscription	app	Subscription
/super-admin	app	SuperAdmin
/supplier-portal	portal	SupplierPortal
/supplier-portal/orders	portal	SupplierPortal.Orders
/suppliers	app	Suppliers
/support-chat-dashboard	app	Support-Chat-Dashboard
/sustainable-energy-monitoring	app	Sustainable-Energy-Monitoring
/system-integrations	app	SystemIntegrations
/system-settings	app	System-Settings
/task-management	app	Task-Management
/tasks	app	Tasks
/tax-management	app	TaxManagement
/technician-app-clock	app	Technician-App-Clock
/technician-app-home	app	Technician-App-Home
/technician-app-jobs	app	Technician-App-Jobs
/technician-app-lookup	app	Technician-App-Lookup
/technician-app-profile	app	Technician-App-Profile
/technician-kb	app	TechnicianKB
/technician-leaderboards	app	Technician-Leaderboards
/technician-management	app	Technician-Management
/technician-mobile	app	Technician-Mobile
/technician-performance	app	Technician-Performance
/technician-portal	portal	TechnicianPortal
/technician-portal-attendance	app	Technician-Portal-Attendance
/technician-portal-dashboard	app	Technician-Portal-Dashboard
/technician-portal-documentation	app	Technician-Portal-Documentation
/technician-portal-guides	app	Technician-Portal-Guides
/technician-portal-my-jobs	app	Technician-Portal-My-Jobs
/technician-portal-parts	app	Technician-Portal-Parts
/technician-portal-profile	app	Technician-Portal-Profile
/technician-portal-software	app	Technician-Portal-Software
/technician-portal-time-clock	app	Technician-Portal-Time-Clock
/technician-portal/job-detail	portal	TechnicianPortal.JobDetail
/technician-schedule	app	TechnicianSchedule
/technicians	app	Technicians
/telematics-integration	app	Telematics-Integration
/templates	app	Templates
/terms-conditions	auth	TermsConditions
/timeclock-payroll	app	Timeclock-Payroll
/timesheet-management	app	Timesheet-Management
/tire-management	app	Tire-Management
/tools	app	Tools
/towing-assistance	app	Towing-Assistance
/towing-services	app	Towing-Services
/training-lms	app	Training-LMS
/trial-balance	app	Trial-Balance
/two-factor-verification	auth	TwoFactorVerification
/ui/activity-feed	reference	UI.ActivityFeed
/ui/advanced-filters	reference	UI.AdvancedFilters
/ui/attachments	reference	UI.Attachments
/ui/calendar-view	reference	UI.CalendarView
/ui/card-view	reference	UI.CardView
/ui/charts	reference	UI.Charts
/ui/comments	reference	UI.Comments
/ui/empty-states	reference	UI.EmptyStates
/ui/export-center	reference	UI.ExportCenter
/ui/form-validation	reference	UI.FormValidation
/ui/import-center	reference	UI.ImportCenter
/ui/kanban-view	reference	UI.KanbanView
/ui/list-view	reference	UI.ListView
/ui/loading-states	reference	UI.LoadingStates
/ui/map-view	reference	UI.MapView
/ui/media-gallery	reference	UI.MediaGallery
/ui/messages	reference	UI.Messages
/ui/modals/actions	reference	UI.Modals.Actions
/ui/modals/capture	reference	UI.Modals.Capture
/ui/modals/crud	reference	UI.Modals.CRUD
/ui/modals/data	reference	UI.Modals.Data
/ui/modals/lifecycle	reference	UI.Modals.Lifecycle
/ui/modals/status	reference	UI.Modals.Status
/ui/table-view	reference	UI.TableView
